#BOOKMARKS;;;;;;;;;;;;;;x;
BM_KARLING_COLLAPSE;End of the Carolingian Empire;End of the Carolingian Empire;End of the Carolingian Empire;;End of the Carolingian Empire;;;;;;;;;x;
BM_KARLING_COLLAPSE_DESC;After the Treaty of Verdun in 843, the Carolingian Empire was a shadow of what it was under Charlemagne. With the deposition and death of Emperor Charles the Fat, however, the Empire has finally collapsed, and each part of it has elected a kinglet from their own bowels, the dream of a united Christian Europe seemingly dead... for now...;After the Treaty of Verdun in 843, the Carolingian Empire was a shadow of what it was under Charlemagne. With the deposition and death of Emperor Charles the Fat, however, the Empire has finally collapsed, and each part of it has elected a kinglet from their own bowels, the dream of a united Christian Europe seemingly dead... for now...;After the Treaty of Verdun in 843, the Carolingian Empire was a shadow of what it was under Charlemagne. With the deposition and death of Emperor Charles the Fat, however, the Empire has finally collapsed, and each part of it has elected a kinglet from their own bowels, the dream of a united Christian Europe seemingly dead... for now...;;After the Treaty of Verdun in 843, the Carolingian Empire was a shadow of what it was under Charlemagne. With the deposition and death of Emperor Charles the Fat, however, the Empire has finally collapsed, and each part of it has elected a kinglet from their own bowels, the dream of a united Christian Europe seemingly dead... for now...;;;;;;;;;x;
BM_TEUTON;Rex Teutonicorum;Rex Teutonicorum;Rex Teutonicorum;;Rex Teutonicorum;;;;;;;;;x;
BM_TEUTON_DESC;After a long period of instability, the Iron Crown of the Lombards in Italy has been seized by Berengar II, who's legitimacy is under question. Meanwhile to the north, Otto of Saxony, king of Germany, waxes in power. As the new millennium slowly approaches, the post-Carolingian status-quo looks set to change forever, but who will come out on top?;After a long period of instability, the Iron Crown of the Lombards in Italy has been seized by Berengar II, who's legitimacy is under question. Meanwhile to the north, Otto of Saxony, king of Germany, waxes in power. As the new millennium slowly approaches, the post-Carolingian status-quo looks set to change forever, but who will come out on top?;After a long period of instability, the Iron Crown of the Lombards in Italy has been seized by Berengar II, who's legitimacy is under question. Meanwhile to the north, Otto of Saxony, king of Germany, waxes in power. As the new millennium slowly approaches, the post-Carolingian status-quo looks set to change forever, but who will come out on top?;;After a long period of instability, the Iron Crown of the Lombards in Italy has been seized by Berengar II, who's legitimacy is under question. Meanwhile to the north, Otto of Saxony, king of Germany, waxes in power. As the new millennium slowly approaches, the post-Carolingian status-quo looks set to change forever, but who will come out on top?;;;;;;;;;x;
BM_HRE_FORMED;The Holy Roman Empire;The Holy Roman Empire;The Holy Roman Empire;;The Holy Roman Empire;;;;;;;;;x;
BM_HRE_FORMED_DESC;Having successfully conquered Italy, Otto the Great of Germany has been crowned Roman Emperor by the Pope, claiming the legacy of Charlemagne and the Roman emperors of old. But with the power and prestige come new challenges: the powerful lords of Germany and Italy, historically enjoying a large amount of autonomy, are unlikely to be happy with an increasingly powerful Emperor. Can the new Holy Roman Empire truly become a successor to the great Empires of time gone by?;Having successfully conquered Italy, Otto the Great of Germany has been crowned Roman Emperor by the Pope, claiming the legacy of Charlemagne and the Roman emperors of old. But with the power and prestige come new challenges: the powerful lords of Germany and Italy, historically enjoying a large amount of autonomy, are unlikely to be happy with an increasingly powerful Emperor. Can the new Holy Roman Empire truly become a successor to the great Empires of time gone by?;Having successfully conquered Italy, Otto the Great of Germany has been crowned Roman Emperor by the Pope, claiming the legacy of Charlemagne and the Roman emperors of old. But with the power and prestige come new challenges: the powerful lords of Germany and Italy, historically enjoying a large amount of autonomy, are unlikely to be happy with an increasingly powerful Emperor. Can the new Holy Roman Empire truly become a successor to the great Empires of time gone by?;;Having successfully conquered Italy, Otto the Great of Germany has been crowned Roman Emperor by the Pope, claiming the legacy of Charlemagne and the Roman emperors of old. But with the power and prestige come new challenges: the powerful lords of Germany and Italy, historically enjoying a large amount of autonomy, are unlikely to be happy with an increasingly powerful Emperor. Can the new Holy Roman Empire truly become a successor to the great Empires of time gone by?;;;;;;;;;x;
BM_SALIAN;The Salian Dynasty;The Salian Dynasty;The Salian Dynasty;;The Salian Dynasty;;;;;;;;;x;
BM_SALIAN_DESC;Emperor Henry II of the Holy Roman Empire has died childless, and with no obvious heir the Princes of the Empire have elected Conrad of Franconia of the Salian dynasty as the new King of the Germans. However, Conrad's support is hardly universal among his new vassals. Will he keep the Empire together, or are the Salians doomed to eventual obscurity?;Emperor Henry II of the Holy Roman Empire has died childless, and with no obvious heir the Princes of the Empire have elected Conrad of Franconia of the Salian dynasty as the new King of the Germans. However, Conrad's support is hardly universal among his new vassals. Will he keep the Empire together, or are the Salians doomed to eventual obscurity?;Emperor Henry II of the Holy Roman Empire has died childless, and with no obvious heir the Princes of the Empire have elected Conrad of Franconia of the Salian dynasty as the new King of the Germans. However, Conrad's support is hardly universal among his new vassals. Will he keep the Empire together, or are the Salians doomed to eventual obscurity?;;Emperor Henry II of the Holy Roman Empire has died childless, and with no obvious heir the Princes of the Empire have elected Conrad of Franconia of the Salian dynasty as the new King of the Germans. However, Conrad's support is hardly universal among his new vassals. Will he keep the Empire together, or are the Salians doomed to eventual obscurity?;;;;;;;;;x;
BM_ARLES;Imperial Arelat;Imperial Arelat;Imperial Arelat;;Imperial Arelat;;;;;;;;;;
BM_ARLES_DESC;Rudolph III of Arles has died without children, bringing an end to the Burgundian branch of the Welf dynasty. As per an agreement made in 1006, however, the Kingdom of Arles has been inherited by the Holy Roman Emperor, becoming the third crown in the Imperial union.;Rudolph III of Arles has died without children, bringing an end to the Burgundian branch of the Welf dynasty. As per an agreement made in 1006, however, the Kingdom of Arles has been inherited by the Holy Roman Emperor, becoming the third crown in the Imperial union.;Rudolph III of Arles has died without children, bringing an end to the Burgundian branch of the Welf dynasty. As per an agreement made in 1006, however, the Kingdom of Arles has been inherited by the Holy Roman Emperor, becoming the third crown in the Imperial union.;;Rudolph III of Arles has died without children, bringing an end to the Burgundian branch of the Welf dynasty. As per an agreement made in 1006, however, the Kingdom of Arles has been inherited by the Holy Roman Emperor, becoming the third crown in the Imperial union.;;;;;;;;;;
BM_INVESTITURE;The Investiture Controversy;The Investiture Controversy;The Investiture Controversy;;The Investiture Controversy;;;;;;;;;x;
BM_INVESTITURE_DESC;A storm is brewing in Europe. Long standing questions on the extent of the Papacy's secular power are being considered by reformists in Rome, led by Pope Gregory. Meanwhile, Henry IV of the Salian dynasty rules as Holy Roman Emperor, his predecessors having long used the clergy as a tool to counterbalance the feudal lords and treating the requirement of a Papal crowning as little more than a formality, rather than a sign of subservience to the Papacy. It seems like a clash between Emperor and Pope is inevitable, but who will come out on top?;A storm is brewing in Europe. Long standing questions on the extent of the Papacy's secular power are being considered by reformists in Rome, led by Pope Gregory. Meanwhile, Henry IV of the Salian dynasty rules as Holy Roman Emperor, his predecessors having long used the clergy as a tool to counterbalance the feudal lords and treating the requirement of a Papal crowning as little more than a formality, rather than a sign of subservience to the Papacy. It seems like a clash between Emperor and Pope is inevitable, but who will come out on top?;A storm is brewing in Europe. Long standing questions on the extent of the Papacy's secular power are being considered by reformists in Rome, led by Pope Gregory. Meanwhile, Henry IV of the Salian dynasty rules as Holy Roman Emperor, his predecessors having long used the clergy as a tool to counterbalance the feudal lords and treating the requirement of a Papal crowning as little more than a formality, rather than a sign of subservience to the Papacy. It seems like a clash between Emperor and Pope is inevitable, but who will come out on top?;;A storm is brewing in Europe. Long standing questions on the extent of the Papacy's secular power are being considered by reformists in Rome, led by Pope Gregory. Meanwhile, Henry IV of the Salian dynasty rules as Holy Roman Emperor, his predecessors having long used the clergy as a tool to counterbalance the feudal lords and treating the requirement of a Papal crowning as little more than a formality, rather than a sign of subservience to the Papacy. It seems like a clash between Emperor and Pope is inevitable, but who will come out on top?;;;;;;;;;x;
#TITLES AND PROVINCES;;;;;;;;;;;;;;x;
k_grand_lorraine;Lorraine;Lorraine;Lorraine;;Lorraine;;;;;;;;;x;
k_grand_lorraine_adj;Lorraine;Lorraine;Lorraine;;Lorraine;;;;;;;;;x;
k_grand_holland;Holland;Hollande;Holland;;Holanda;;;;;;;;;x;
k_grand_holland_adj;Hollander;Hollande;Hollander;;Holanda;;;;;;;;;x;
k_grand_aquitaine;Aquitaine;Aquitaine;Aquitanien;;Aquitania;;;;;;;;;;
k_grand_aquitaine_adj;Aquitanian;Aquitaine;Aquitanisch;;Aquitano;;;;;;;;;;
k_grand_burgundy;Burgundy;Bourgogne;Burgund;;Borgoña;;;;;;;;;;
k_grand_burgundy_adj;Burgundian;Bourguignonne;Burgundischer;;Borgoñona;;;;;;;;;;
k_grand_normandy;Normandy;Normandie;Normandie;;Normandía;;;;;;;;;;
k_grand_normandy_adj;Norman;normande;Normannischer;;Normanda;;;;;;;;;;
d_vaspurakan;Vaspurakan;Vaspurakan;Vaspurakan;;Vaspurakan;;;;;;;;;x;
d_vaspurakan_adj;Vaspurakan;Vaspurakan;Vaspurakan;;Vaspurakan;;;;;;;;;x;
c_van;Van;Van;Van;;Van;;;;;;;;;x;
c_van_adj;Van;Van;Van;;Van;;;;;;;;;x;
b_shushi;Shushi;Shushi;Shushi;;Shushi;;;;;;;;;x;
b_shushi_adj;Shushi;Shushi;Shushi;;Shushi;;;;;;;;;x;
b_targmanchats;Targmanchats;Targmanchats;Targmanchats;;Targmanchats;;;;;;;;;x;
b_targmanchats_adj;Targmanchatsian;Targmanchatsian;Targmanchatsian;;Targmanchatsian;;;;;;;;;x;
b_kara_kalise;Kara Kalise;Kara Kalise;Kara Kalise;;Kara Kalise;;;;;;;;;x;
b_kara_kalise_adj;Kara Kalisian;Kara Kalisian;Kara Kalisian;;Kara Kalisian;;;;;;;;;x;
b_vararakn;Vararakn;Vararakn;Vararakn;;Vararakn;;;;;;;;;x;
b_vararakn_adj;Vararakn;Vararakn;Vararakn;;Vararakn;;;;;;;;;x;
b_qatur;Qatur;Qatur;Qatur;;Qatur;;;;;;;;;x;
b_qatur_adj;Qaturian;Qaturian;Qaturian;;Qaturian;;;;;;;;;x;
b_morand;Morand;Morand;Morand;;Morand;;;;;;;;;x;
b_morand_adj;Morandian;Morandian;Morandian;;Morandian;;;;;;;;;x;
b_firuraq;Firuraq;Firuraq;Firuraq;;Firuraq;;;;;;;;;x;
b_firuraq_adj;Firuraqian;Firuraqian;Firuraqian;;Firuraqian;;;;;;;;;x;
b_dzordzur;Dzordzur;Dzordzur;Dzordzur;;Dzordzur;;;;;;;;;x;
b_dzordzur_adj;Dzordzurian;Dzordzurian;Dzordzurian;;Dzordzurian;;;;;;;;;x;
