#STORY EVENTS#;;;;;;;;;;;;;;x;
EVTNAME_rexteut_1001;Adelaide of Italy;Adelaide of Italy;Adelaide of Italy;;Adelaide of Italy;;;;;;;;;x;
EVTDESC_rexteut_1001;Though you have gained the Italian throne, there are some who call you a usurper or worse. Adelaide of Italy is the daughter, daughter-in-law and widow of the last three Italian kings respectively, and by marrying her to your heir, it could help a great deal with your legitimacy;Though you have gained the Italian throne, there are some who call you a usurper or worse. Adelaide of Italy is the daughter, daughter-in-law and widow of the last three Italian kings respectively, and by marrying her to your heir, it could help a great deal with your legitimacy;Though you have gained the Italian throne, there are some who call you a usurper or worse. Adelaide of Italy is the daughter, daughter-in-law and widow of the last three Italian kings respectively, and by marrying her to your heir, it could help a great deal with your legitimacy;;Though you have gained the Italian throne, there are some who call you a usurper or worse. Adelaide of Italy is the daughter, daughter-in-law and widow of the last three Italian kings respectively, and by marrying her to your heir, it could help a great deal with your legitimacy;;;;;;;;;x;
EVTOPTA_rexteut_1001;That's a wonderful idea!;That's a wonderful idea!;That's a wonderful idea!;;That's a wonderful idea!;;;;;;;;;x;
EVTOPTB_rexteut_1001;No, I have nothing to prove.;No, I have nothing to prove.;No, I have nothing to prove.;;No, I have nothing to prove.;;;;;;;;;x;
EVTDESC_rexteut_1002;You're pretty sure the man calling himself the king of Italy was behind the death of your late husband. And yet he is now demanding that you marry his loathsome son to help cement his ill-got power!;You're pretty sure the man calling himself the king of Italy was behind the death of your late husband. And yet he is now demanding that you marry his loathsome son to help cement his ill-got power!;You're pretty sure the man calling himself the king of Italy was behind the death of your late husband. And yet he is now demanding that you marry his loathsome son to help cement his ill-got power!;;You're pretty sure the man calling himself the king of Italy was behind the death of your late husband. And yet he is now demanding that you marry his loathsome son to help cement his ill-got power!;;;;;;;;;;
EVTOPTA_rexteut_1002;Not if he was the last man on Earth!;Not if he was the last man on Earth!;Not if he was the last man on Earth!;;Not if he was the last man on Earth!;;;;;;;;;;
EVTOPTB_rexteut_1002;I guess I have no choice...;I guess I have no choice...;I guess I have no choice...;;I guess I have no choice...;;;;;;;;;x;
EVTDESC_rexteut_1003;Far from accepting your generous proposal, Adelaide has shot it down in a most spirited way.;Far from accepting your generous proposal, Adelaide has shot it down in a most spirited way.;Far from accepting your generous proposal, Adelaide has shot it down in a most spirited way.;;Far from accepting your generous proposal, Adelaide has shot it down in a most spirited way.;;;;;;;;;x;
EVTOPTA_rexteut_1003;That's ok. You can rot in the dungeon until you change your mind.;That's ok. You can rot in the dungeon until you change your mind.;That's ok. You can rot in the dungeon until you change your mind.;;That's ok. You can rot in the dungeon until you change your mind.;;;;;;;;;x;
EVTOPTB_rexteut_1003;I suppose I have to accept her wishes...;I suppose I have to accept her wishes...;I suppose I have to accept her wishes...;;I suppose I have to accept her wishes...;;;;;;;;;x;
EVTDESC_rexteut_1004;It's well known that while Berengar is your liege, his legitimacy is... somewhat suspect. His attempts to increase it involved trying to marry Adelaide of Italy to his son, but when she refused, he imprisoned her. Now, she is planning to escape, but is requesting your help to do so.;It's well known that while Berengar is your liege, his legitimacy is... somewhat suspect. His attempts to increase it involved trying to marry Adelaide of Italy to his son, but when she refused, he imprisoned her. Now, she is planning to escape, but is requesting your help to do so.;It's well known that while Berengar is your liege, his legitimacy is... somewhat suspect. His attempts to increase it involved trying to marry Adelaide of Italy to his son, but when she refused, he imprisoned her. Now, she is planning to escape, but is requesting your help to do so.;;It's well known that while Berengar is your liege, his legitimacy is... somewhat suspect. His attempts to increase it involved trying to marry Adelaide of Italy to his son, but when she refused, he imprisoned her. Now, she is planning to escape, but is requesting your help to do so.;;;;;;;;;x;
